,city,lat,lng,temp,humidity,wind,cloudiness,country,date
65,tuatapere,-46.1333,167.6833,46.0,87,7.0,1,NZ,Sat May  1 09:31:15 2021
66,vaini,-21.2,-175.2,75.2,83,10.36,20,TO,Sat May  1 09:27:09 2021
67,salamiyah,35.0113,37.0532,74.8,35,10.74,28,SY,Sat May  1 09:31:16 2021
68,rio grande,-32.035,-52.0986,78.8,53,2.3,0,BR,Sat May  1 09:26:25 2021
69,pevek,69.7008,170.3133,5.36,96,7.11,100,RU,Sat May  1 09:27:48 2021
70,busselton,-33.65,115.3333,57.99,95,3.36,80,AU,Sat May  1 09:31:17 2021
71,tasiilaq,65.6145,-37.6368,28.4,93,6.91,20,GL,Sat May  1 09:31:18 2021
72,palora,-1.7,-77.9333,69.8,83,5.75,75,EC,Sat May  1 09:31:18 2021
73,puerto ayora,-0.7393,-90.3518,82.4,69,17.27,75,EC,Sat May  1 09:31:19 2021
74,hongjiang,27.11,109.9956,71.98,76,3.2,78,CN,Sat May  1 09:31:19 2021
75,lewistown,40.5992,-77.5714,57.2,26,11.5,1,US,Sat May  1 09:28:22 2021
76,bengkulu,-3.8004,102.2655,76.28,90,4.43,74,ID,Sat May  1 09:31:20 2021
77,beloha,-25.1667,45.05,73.0,69,9.71,99,MG,Sat May  1 09:29:35 2021
78,nikolskoye,59.7035,30.7861,44.6,57,11.18,20,RU,Sat May  1 09:29:09 2021
79,kodiak,57.79,-152.4072,35.6,87,4.61,40,US,Sat May  1 09:28:10 2021
80,abha,18.2164,42.5053,68.0,30,4.61,40,SA,Sat May  1 09:28:31 2021
81,narsaq,60.9167,-46.05,50.0,22,34.52,1,GL,Sat May  1 09:31:22 2021
82,forestville,38.8451,-76.875,64.0,20,11.5,1,US,Sat May  1 09:31:23 2021
83,new norfolk,-42.7826,147.0587,54.0,64,3.2,100,AU,Sat May  1 09:31:24 2021
84,batagay,67.6333,134.6333,29.19,83,2.77,100,RU,Sat May  1 09:31:24 2021
85,okhotsk,59.3833,143.3,31.26,88,0.49,100,RU,Sat May  1 09:31:25 2021
86,cabo san lucas,22.8909,-109.9124,79.0,73,8.05,1,MX,Sat May  1 09:28:28 2021
87,chuy,-33.6971,-53.4616,73.47,56,6.02,1,UY,Sat May  1 09:27:47 2021
88,turukhansk,65.8167,87.9833,33.82,92,7.94,100,RU,Sat May  1 09:31:26 2021
89,kaitangata,-46.2817,169.8464,48.0,73,4.0,1,NZ,Sat May  1 09:31:27 2021
90,thompson,55.7435,-97.8558,21.2,86,11.5,90,CA,Sat May  1 09:26:32 2021
91,hobart,-42.8794,147.3294,55.4,71,11.5,99,AU,Sat May  1 09:31:28 2021
92,sagua la grande,22.8067,-80.0756,89.6,40,3.44,20,CU,Sat May  1 09:31:28 2021
93,bethel,41.3712,-73.414,57.0,44,11.5,1,US,Sat May  1 09:27:56 2021
94,hermanus,-34.4187,19.2345,63.0,70,1.99,20,ZA,Sat May  1 09:31:29 2021
95,provideniya,64.3833,-173.3,21.34,69,5.84,81,RU,Sat May  1 09:31:30 2021
96,fukue,32.6881,128.8419,57.25,55,17.29,31,JP,Sat May  1 09:31:31 2021
97,smithers,54.7804,-127.1743,42.8,75,4.29,75,CA,Sat May  1 09:31:31 2021
